Country name,Year,Shock Category,Shock Type,count
Afghanistan,1971,CLIMATIC,Drought,1
Afghanistan,1971,CLIMATIC,Mass movement (wet),1
Afghanistan,1972,CLIMATIC,Flood,1
Afghanistan,1972,GEOPHYSICAL,Earthquake,1
Afghanistan,1973,CONFLICTS,Terrorist attack,1
Afghanistan,1976,CLIMATIC,Flood,1
Afghanistan,1976,ECONOMIC,Currency Crises,1
Afghanistan,1976,GEOPHYSICAL,Earthquake,1
Afghanistan,1978,CLIMATIC,Flood,1
Afghanistan,1978,CONFLICTS,Intrastate conflict,1
Afghanistan,1979,CONFLICTS,Interstate conflict,1
Afghanistan,1979,CONFLICTS,Intrastate conflict,1
Afghanistan,1979,CONFLICTS,Terrorist attack,3
Afghanistan,1980,CLIMATIC,Flood,1
Afghanistan,1980,CONFLICTS,Intrastate conflict,1
Afghanistan,1981,CONFLICTS,Intrastate conflict,1
Afghanistan,1982,CONFLICTS,Intrastate conflict,1
Afghanistan,1982,GEOPHYSICAL,Earthquake,1
Afghanistan,1983,CONFLICTS,Intrastate conflict,1
Afghanistan,1983,GEOPHYSICAL,Earthquake,1
Afghanistan,1984,CONFLICTS,Intrastate conflict,1
Afghanistan,1984,GEOPHYSICAL,Earthquake,1
Afghanistan,1985,CONFLICTS,Intrastate conflict,1
Afghanistan,1986,CONFLICTS,Intrastate conflict,1
Afghanistan,1987,CLIMATIC,Mass movement (wet),1
Afghanistan,1987,CONFLICTS,Intrastate conflict,1
Afghanistan,1987,CONFLICTS,Terrorist attack,1
Afghanistan,1988,CLIMATIC,Flood,1
Afghanistan,1988,CONFLICTS,Intrastate conflict,1
Afghanistan,1988,CONFLICTS,Terrorist attack,11
Afghanistan,1989,CONFLICTS,Intrastate conflict,1
Afghanistan,1989,CONFLICTS,Terrorist attack,10
Afghanistan,1989,TECHNOLOGICAL,Air,2
Afghanistan,1990,CLIMATIC,Extreme temperature,1
Afghanistan,1990,CONFLICTS,Intrastate conflict,1
Afghanistan,1990,CONFLICTS,Terrorist attack,2
Afghanistan,1990,TECHNOLOGICAL,Air,2
Afghanistan,1991,CLIMATIC,Extreme temperature,1
Afghanistan,1991,CLIMATIC,Flood,3
Afghanistan,1991,CONFLICTS,Intrastate conflict,1
Afghanistan,1991,CONFLICTS,Terrorist attack,30
Afghanistan,1991,GEOPHYSICAL,Earthquake,2
Afghanistan,1991,TECHNOLOGICAL,Air,1
Afghanistan,1991,TECHNOLOGICAL,Collapse (Miscellaneous),1
Afghanistan,1992,CLIMATIC,Flood,2
Afghanistan,1992,CONFLICTS,Intrastate conflict,1
Afghanistan,1992,CONFLICTS,Terrorist attack,36
Afghanistan,1992,GEOPHYSICAL,Earthquake,1
Afghanistan,1993,CLIMATIC,Mass movement (wet),2
Afghanistan,1993,CLIMATIC,Storm,1
Afghanistan,1993,CONFLICTS,Intrastate conflict,1
Afghanistan,1993,CONFLICTS,Terrorist attack,20
Afghanistan,1993,ECOLOGICAL,Infestation,1
Afghanistan,1993,TECHNOLOGICAL,Air,1
Afghanistan,1994,CONFLICTS,Intrastate conflict,1
Afghanistan,1994,CONFLICTS,Terrorist attack,9
Afghanistan,1994,GEOPHYSICAL,Earthquake,1
Afghanistan,1995,CLIMATIC,Flood,2
Afghanistan,1995,CLIMATIC,Mass movement (wet),1
Afghanistan,1995,CONFLICTS,Intrastate conflict,1
Afghanistan,1995,CONFLICTS,Terrorist attack,6
Afghanistan,1996,CLIMATIC,Flood,1
Afghanistan,1996,CONFLICTS,Intrastate conflict,1
Afghanistan,1996,CONFLICTS,Terrorist attack,4
Afghanistan,1996,GEOPHYSICAL,Earthquake,1
Afghanistan,1996,TECHNOLOGICAL,Explosion (Industrial),1
Afghanistan,1997,CLIMATIC,Flood,2
Afghanistan,1997,CLIMATIC,Mass movement (wet),1
Afghanistan,1997,CONFLICTS,Intrastate conflict,1
Afghanistan,1997,CONFLICTS,Terrorist attack,1
Afghanistan,1997,GEOPHYSICAL,Earthquake,1
Afghanistan,1997,TECHNOLOGICAL,Air,1
Afghanistan,1997,TECHNOLOGICAL,Explosion (Industrial),1
Afghanistan,1998,CLIMATIC,Flood,1
Afghanistan,1998,CLIMATIC,Mass movement (wet),1
Afghanistan,1998,CONFLICTS,Intrastate conflict,1
Afghanistan,1998,CONFLICTS,Terrorist attack,1
Afghanistan,1998,ECOLOGICAL,Infectious disease,2
Afghanistan,1998,GEOPHYSICAL,Earthquake,3
Afghanistan,1998,TECHNOLOGICAL,Air,1
Afghanistan,1999,CLIMATIC,Flood,1
Afghanistan,1999,CLIMATIC,Wildfire,1
Afghanistan,1999,CONFLICTS,Intrastate conflict,1
Afghanistan,1999,CONFLICTS,Terrorist attack,9
Afghanistan,1999,ECOLOGICAL,Infectious disease,4
Afghanistan,1999,GEOPHYSICAL,Earthquake,1
Afghanistan,2000,CLIMATIC,Drought,1
Afghanistan,2000,CONFLICTS,Intrastate conflict,1
Afghanistan,2000,CONFLICTS,Terrorist attack,14
Afghanistan,2000,ECOLOGICAL,Infectious disease,2
Afghanistan,2000,ECONOMIC,Currency Crises,1
Afghanistan,2000,TECHNOLOGICAL,Collapse (Miscellaneous),1
Afghanistan,2001,CLIMATIC,Extreme temperature,2
Afghanistan,2001,CONFLICTS,Interstate conflict,1
Afghanistan,2001,CONFLICTS,Intrastate conflict,1
Afghanistan,2001,CONFLICTS,Terrorist attack,14
Afghanistan,2001,ECOLOGICAL,Crops,1
Afghanistan,2001,ECOLOGICAL,Fisheries,1
Afghanistan,2001,ECOLOGICAL,Infectious disease,1
Afghanistan,2001,ECONOMIC,Currency Crises,1
Afghanistan,2001,GEOPHYSICAL,Earthquake,2
Afghanistan,2001,TECHNOLOGICAL,Air,1
Afghanistan,2002,CLIMATIC,Flood,4
Afghanistan,2002,CLIMATIC,Mass movement (wet),1
Afghanistan,2002,CONFLICTS,Intrastate conflict,1
Afghanistan,2002,CONFLICTS,Intrastate conflict,1
Afghanistan,2002,CONFLICTS,Terrorist attack,38
Afghanistan,2002,ECOLOGICAL,Infectious disease,2
Afghanistan,2002,ECONOMIC,Currency Crises,1
Afghanistan,2002,GEOPHYSICAL,Earthquake,3
Afghanistan,2002,TECHNOLOGICAL,Explosion (Miscellaneous),2
Afghanistan,2002,TECHNOLOGICAL,Road,2
Afghanistan,2003,CLIMATIC,Flood,8
Afghanistan,2003,CONFLICTS,Intrastate conflict,1
Afghanistan,2003,CONFLICTS,Terrorist attack,100
Afghanistan,2003,ECOLOGICAL,Infectious disease,2
Afghanistan,2003,ECONOMIC,Currency Crises,1
Afghanistan,2003,GEOPHYSICAL,Earthquake,1
Afghanistan,2003,TECHNOLOGICAL,Explosion (Miscellaneous),1
Afghanistan,2004,CLIMATIC,Flood,2
Afghanistan,2004,CONFLICTS,Intrastate conflict,1
Afghanistan,2004,CONFLICTS,Terrorist attack,88
Afghanistan,2004,ECONOMIC,Currency Crises,1
Afghanistan,2004,GEOPHYSICAL,Earthquake,1
Afghanistan,2004,TECHNOLOGICAL,Collapse (Industrial),1
Afghanistan,2004,TECHNOLOGICAL,Explosion (Industrial),1
Afghanistan,2004,TECHNOLOGICAL,Miscellaneous accident (General),1
Afghanistan,2005,CLIMATIC,Extreme temperature,1
Afghanistan,2005,CLIMATIC,Flood,8
Afghanistan,2005,CLIMATIC,Storm,1
Afghanistan,2005,CONFLICTS,Intrastate conflict,1
Afghanistan,2005,CONFLICTS,Terrorist attack,155
Afghanistan,2005,ECOLOGICAL,Infectious disease,1
Afghanistan,2005,ECONOMIC,Currency Crises,1
Afghanistan,2005,GEOPHYSICAL,Earthquake,2
Afghanistan,2005,TECHNOLOGICAL,Air,2
Afghanistan,2005,TECHNOLOGICAL,Collapse (Miscellaneous),1
Afghanistan,2005,TECHNOLOGICAL,Explosion (Miscellaneous),1
Afghanistan,2005,TECHNOLOGICAL,Road,2
Afghanistan,2006,CLIMATIC,Drought,1
Afghanistan,2006,CLIMATIC,Flood,7
Afghanistan,2006,CLIMATIC,Mass movement (wet),2
Afghanistan,2006,CLIMATIC,Storm,2
Afghanistan,2006,CONFLICTS,Intrastate conflict,1
Afghanistan,2006,CONFLICTS,Terrorist attack,283
Afghanistan,2006,ECONOMIC,Currency Crises,1
Afghanistan,2006,GEOPHYSICAL,Earthquake,1
Afghanistan,2006,TECHNOLOGICAL,Air,2
Afghanistan,2007,CLIMATIC,Flood,7
Afghanistan,2007,CONFLICTS,Intrastate conflict,1
Afghanistan,2007,CONFLICTS,Terrorist attack,342
Afghanistan,2007,ECONOMIC,Currency Crises,1
Afghanistan,2007,TECHNOLOGICAL,Road,1
Afghanistan,2008,CLIMATIC,Drought,1
Afghanistan,2008,CLIMATIC,Extreme temperature,1
Afghanistan,2008,CLIMATIC,Flood,1
Afghanistan,2008,CONFLICTS,Intrastate conflict,1
Afghanistan,2008,CONFLICTS,Terrorist attack,414
Afghanistan,2008,ECONOMIC,Currency Crises,1
Afghanistan,2008,TECHNOLOGICAL,Road,1
Afghanistan,2009,CLIMATIC,Flood,3
Afghanistan,2009,CLIMATIC,Mass movement (wet),1
Afghanistan,2009,CONFLICTS,Intrastate conflict,1
Afghanistan,2009,CONFLICTS,Terrorist attack,503
Afghanistan,2009,ECOLOGICAL,Infectious disease,1
Afghanistan,2009,GEOPHYSICAL,Earthquake,1
Afghanistan,2009,TECHNOLOGICAL,Air,3
Afghanistan,2010,CLIMATIC,Flood,2
Afghanistan,2010,CLIMATIC,Mass movement (wet),2
Afghanistan,2010,CONFLICTS,Intrastate conflict,1
Afghanistan,2010,CONFLICTS,Terrorist attack,542
Afghanistan,2010,ECONOMIC,Currency Crises,1
Afghanistan,2010,GEOPHYSICAL,Earthquake,1
Afghanistan,2010,TECHNOLOGICAL,Air,1
Afghanistan,2010,TECHNOLOGICAL,Collapse (Miscellaneous),1
Afghanistan,2010,TECHNOLOGICAL,Road,2
Afghanistan,2011,CLIMATIC,Drought,1
Afghanistan,2011,CLIMATIC,Flood,2
Afghanistan,2011,CLIMATIC,Storm,1
Afghanistan,2011,CONFLICTS,Intrastate conflict,1
Afghanistan,2011,CONFLICTS,Terrorist attack,421
Afghanistan,2011,ECONOMIC,Currency Crises,1
Afghanistan,2011,TECHNOLOGICAL,Road,3
Afghanistan,2012,CLIMATIC,Extreme temperature,1
Afghanistan,2012,CLIMATIC,Flood,6
Afghanistan,2012,CLIMATIC,Mass movement (wet),3
Afghanistan,2012,CONFLICTS,Intrastate conflict,1
Afghanistan,2012,CONFLICTS,Terrorist attack,1469
Afghanistan,2012,ECONOMIC,Currency Crises,1
Afghanistan,2012,GEOPHYSICAL,Earthquake,1
Afghanistan,2012,TECHNOLOGICAL,Road,1
Afghanistan,2013,CLIMATIC,Flood,4
Afghanistan,2013,CLIMATIC,Mass movement (wet),1
Afghanistan,2013,CONFLICTS,Intrastate conflict,1
Afghanistan,2013,CONFLICTS,Terrorist attack,1443
Afghanistan,2013,GEOPHYSICAL,Earthquake,1
Afghanistan,2013,TECHNOLOGICAL,Collapse (Industrial),1
Afghanistan,2013,TECHNOLOGICAL,Road,1
Albania,1979,GEOPHYSICAL,Earthquake,1
Albania,1981,CONFLICTS,Terrorist attack,1
Albania,1982,GEOPHYSICAL,Earthquake,1
Albania,1985,CLIMATIC,Extreme temperature,1
Albania,1985,CLIMATIC,Mass movement (wet),1
