Country name,Year,Sector,AbsMagnitude,PropMagnitude (Int),Recovery (Int)
Afghanistan,2001,Fisheries,450,0.36,NA
Afghanistan,2001,Crops,1146371,0.210699868787124,1
Albania,1991,Fisheries,9165.578393894,0.672011938910277,NA
Albania,1991,Aquaculture,1509,0.637246621621622,18
Albania,1992,Crops,700580,0.344570135746606,16
Algeria,2007,Aquaculture,12,0.0287769784172662,1
Angola,1975,Fisheries,315545.273361552,0.582668012652287,38
Angola,2006,Livestock,18307,0.0480318410675258,1
Anguilla,2010,Fisheries,40.7580997209999,0.0596411934313583,1
Antigua and Barbuda,1981,Fisheries,1511.095142706,0.545947826184929,1
Antigua and Barbuda,1992,Livestock,299,0.0420711974110033,2
Antigua and Barbuda,1995,Crops,471,0.0366536964980545,1
Argentina,2003,Livestock,1616044,0.119044160350475,2
Australia,2007,Crops,12018352,0.215268293941983,1
Austria,1988,Livestock,328632,0.0725038735934438,11
Austria,1990,Aquaculture,934,0.230049261083744,NA
Bahrain,1981,Crops,30551,0.525454920711362,NA
Bahrain,2001,Aquaculture,2.5,0.833333333333333,1
Bangladesh,1980,Livestock,153425,0.10061289104101,4
Barbados,1989,Fisheries,1325.078536001,0.184200989115744,3
Barbados,1992,Livestock,3194,0.126279998418535,4
Belgium,1969,Fisheries,3102.253427102,0.0481389447933691,2
Belgium,2003,Aquaculture,336,0.210394489668128,NA
Belize,1989,Livestock,5239,0.468730428558647,3
Belize,2003,Fisheries,10022.055013276,0.276799368160954,4
Bermuda,1971,Crops,1017,0.285353535353535,14
Bhutan,2000,Crops,135694,0.28473883447066,4
Bhutan,2009,Livestock,4342,0.087160751565762,NA
Botswana,1978,Fisheries,200,0.166666666666667,2
British Virgin Islands,1968,Livestock,80,0.358744394618834,8
Bulgaria,1978,Fisheries,16351.840646704,0.131995890989798,2
Bulgaria,1991,Livestock,599963,0.181176530273596,NA
Burundi,1997,Fisheries,698,0.033247594550824,NA
Burundi,2010,Aquaculture,32.7,0.654,1
Burundi,2012,Crops,87394,0.0191549752655907,1
Cabo Verde,2011,Livestock,12901,0.454196592029292,NA
Cameroon,1987,Crops,367152,0.0604179752494172,1
Central African Republic,2013,Fisheries,2000,0.0625,NA
Chile,2007,Crops,986109,0.0688096959310471,1
"China, Macao SAR",1987,Fisheries,4897.451673438,0.51474239738603,NA
Comoros,1985,Crops,8250,0.0712435233160622,1
Comoros,1986,Crops,3570,0.0308290155440415,1
Comoros,2002,Livestock,473,0.076735885788449,1
Congo,1994,Aquaculture,113,0.482905982905983,NA
Congo,2000,Aquaculture,73,0.525179856115108,NA
"Congo, Dem. Rep. of the",1996,Aquaculture,100,0.142857142857143,1
