Country name,Year,Shock category,Shock type,count
Afghanistan,1993,CONFLICTS,Terrorist attack,20
Albania,1993,CONFLICTS,Terrorist attack,2
Algeria,1993,CONFLICTS,Terrorist attack,311
Angola,1993,CONFLICTS,Terrorist attack,34
Antigua and Barbuda,1993,CONFLICTS,Terrorist attack,1
Argentina,1993,CONFLICTS,Terrorist attack,15
Armenia,1993,CONFLICTS,Terrorist attack,6
Aruba,1993,CONFLICTS,Terrorist attack,0
Australia,1993,CONFLICTS,Terrorist attack,2
Austria,1993,CONFLICTS,Terrorist attack,9
Azerbaijan,1993,CONFLICTS,Terrorist attack,4
Bangladesh,1993,CONFLICTS,Terrorist attack,47
Belarus,1993,CONFLICTS,Terrorist attack,1
Belgium,1993,CONFLICTS,Terrorist attack,4
Belize,1993,CONFLICTS,Terrorist attack,1
Bolivia,1993,CONFLICTS,Terrorist attack,22
Bosnia and Herzegovina,1993,CONFLICTS,Terrorist attack,6
Brazil,1993,CONFLICTS,Terrorist attack,24
Burundi,1993,CONFLICTS,Terrorist attack,5
Cambodia,1993,CONFLICTS,Terrorist attack,216
Cameroon,1993,CONFLICTS,Terrorist attack,4
Canada,1993,CONFLICTS,Terrorist attack,7
Chad,1993,CONFLICTS,Terrorist attack,13
Chile,1993,CONFLICTS,Terrorist attack,82
China,1993,CONFLICTS,Terrorist attack,21
Colombia,1993,CONFLICTS,Terrorist attack,225
Comoros,1993,CONFLICTS,Terrorist attack,2
Congo Republic,1993,CONFLICTS,Terrorist attack,23
Costa Rica,1993,CONFLICTS,Terrorist attack,3
Croatia,1993,CONFLICTS,Terrorist attack,5
Cuba,1993,CONFLICTS,Terrorist attack,5
Curacao,1993,CONFLICTS,Terrorist attack,1
Cyprus,1993,CONFLICTS,Terrorist attack,4
Czechia,1993,CONFLICTS,Terrorist attack,1
DR Congo,1993,CONFLICTS,Terrorist attack,12
Denmark,1993,CONFLICTS,Terrorist attack,6
Djibouti,1993,CONFLICTS,Terrorist attack,2
